Town;Area (Km²);Latitude;Longitude;NUTS_2;NUTS_3;InsPowMW_20150131;InsPowMW_20150228;InsPowMW_20150331;InsPowMW_20150430;InsPowMW_20150531;InsPowMW_20150630;InsPowMW_20150731;InsPowMW_20150831;InsPowMW_20150930;InsPowMW_20151031;InsPowMW_20151130;InsPowMW_20151231;InsPowMW_20160131;InsPowMW_20160229;InsPowMW_20160331;InsPowMW_20160430;InsPowMW_20160531;InsPowMW_20160630;InsPowMW_20160731;InsPowMW_20160831;InsPowMW_20160930;InsPowMW_20161031;InsPowMW_20161130;InsPowMW_20161231;InsPowMW_20170131;InsPowMW_20170228;InsPowMW_20170331;InsPowMW_20170430;InsPowMW_20170531;InsPowMW_20170630;InsPowMW_20170731;InsPowMW_20170831;InsPowMW_20170930;InsPowMW_20171031;InsPowMW_20171130;InsPowMW_20171231;InsPowMW_20180131;InsPowMW_20180228;InsPowMW_20180331;InsPowMW_20180430;InsPowMW_20180531;InsPowMW_20180630;InsPowMW_20180731;InsPowMW_20180831;InsPowMW_20180930;InsPowMW_20181031;InsPowMW_20181130;InsPowMW_20181231;InsPowMW_20190131;InsPowMW_20190228;InsPowMW_20190331;InsPowMW_20190430;InsPowMW_20190531;InsPowMW_20190630;InsPowMW_20190731;InsPowMW_20190831;InsPowMW_20190930;InsPowMW_20191031;InsPowMW_20191130;InsPowMW_20191231;InsPowMW_20200131;InsPowMW_20200229;InsPowMW_20200331;InsPowMW_20200430;InsPowMW_20200531;InsPowMW_20200630;InsPowMW_20200731;InsPowMW_20200831;InsPowMW_20200930;InsPowMW_20201031;InsPowMW_20201130;InsPowMW_20201231
Fuentelahiguera de Albatages;52.6;40.78;-3.31;ES42;ES424;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63;1.63
Fuentelcésped;22.4;41.60;-3.64;ES41;ES412;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36;0.36
Fuentelencina;44.3;40.51;-2.87;ES42;ES424;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096;0.096
Fuenteliante;50.2;40.84;-6.57;ES41;ES415;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064;0.064
Fuentelisendo;7.0;41.62;-3.90;ES41;ES412;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095;0.095
Fuentenava de Jábaga;133.2;40.13;-2.31;ES42;ES423;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Fuentenovilla;37.2;40.37;-3.10;ES42;ES424;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3
Fuentepelayo;30.9;41.23;-4.18;ES41;ES416;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32;0.32
Fuentepiñel;12.0;41.40;-4.04;ES41;ES416;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108;0.108
Fuenterrebollo;35.9;41.31;-3.95;ES41;ES416;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007;0.007
Fuenterroble de Salvatierra;27.2;40.55;-5.74;ES41;ES415;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;1.575;1.575
Fuentes Calientes;25.0;40.69;-0.98;ES24;ES242;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Fuentes Claras;36.9;40.86;-1.32;ES24;ES242;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55;0.55
Fuentes de Andalucía;150.5;37.50;-5.35;ES61;ES618;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;2.183;52.163;52.163;52.163;52.163;52.163;52.163;52.163;52.163;52.163;52.163;52.163;52.163;52.163;52.163;52.163;52.163;52.163;52.163;52.163;52.163
Fuentes de Año;20.0;41.02;-4.91;ES41;ES411;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5
Fuentes de Ebro;141.7;41.47;-0.63;ES24;ES243;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Fuentes de Nava;60.5;42.09;-4.77;ES41;ES414;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19;0.19
Fuentes de Oñoro;57.2;40.58;-6.79;ES41;ES415;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1
Fuentes de Ropel;48.7;42.01;-5.56;ES41;ES419;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Fuentes de Valdepero;42.9;42.06;-4.49;ES41;ES414;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34;5.34
Fuentesecas;14.6;41.63;-5.48;ES41;ES419;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029;0.029
Fuentesoto;29.8;41.44;-3.91;ES41;ES416;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78;0.78
Fuentespreadas;20.1;41.33;-5.63;ES41;ES419;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;0.21;1.41;1.41;1.41;1.41
Fuentidueña de Tajo;60.2;40.11;-3.16;ES30;ES300;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Fuerte del Rey;35.1;37.90;-3.90;ES61;ES616;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079;0.079
Fueva (La);218.8;42.37;0.27;ES24;ES241;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117;0.117
Fuliola (La);11.1;41.72;1.00;ES51;ES513;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034;0.034
Funes;52.5;42.29;-1.81;ES22;ES220;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Fustiñana;66.9;42.03;-1.44;ES22;ES220;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304;6.304
Gabaldón;84.1;39.64;-1.95;ES42;ES423;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45;0.45
Gabias (Las);39.1;37.13;-3.70;ES61;ES614;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745;10.745
Gádor;87.7;36.96;-2.51;ES61;ES611;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078;0.078
Gaianes;9.6;38.82;-0.41;ES52;ES521;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Gajates;27.7;40.79;-5.36;ES41;ES415;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Galapagar;65.2;40.57;-3.99;ES30;ES300;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021;0.021
Galápagos;34.1;40.71;-3.35;ES42;ES424;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Galar;41.2;42.75;-1.67;ES22;ES220;0.237;0.237;0.237;0.237;0.237;0.237;0.237;0.237;0.237;0.254;0.254;0.254;0.254;0.254;0.254;0.254;0.254;0.254;0.254;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354;0.354
Galdakao;31.5;43.23;-2.83;ES21;ES213;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.179;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278;0.278
Galdames;44.4;43.26;-3.10;ES21;ES213;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005;0.005
Galera (La);27.3;40.69;0.44;ES51;ES514;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95;0.95
Galera;118.3;37.72;-2.56;ES61;ES614;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99;0.99
